# X_CENTER  Y_CENTER  AREA
1185.4167 16.3236 6011.405
1905.7113 15.2028 255.4014
2275.51 44.488 567.8206
1620.3398 32.7345 159.0288
1749.2081 25.9962 112.8899
1874.3701 49.6222 432.9891
1764.3672 64.2633 981.9047
2391.5981 93.1331 1333.948
1441.9956 116.2014 432.036
1921.3678 153.9817 1945.471
477.2909 136.5548 333.0001
2515.9451 152.7165 133.3343
2261.8157 159.526 188.75
3095.1584 222.5226 2884.335
1945.1959 214.2759 672.119
1502.0088 214.7114 467.6364
2346.6221 221.1983 579.6929
2869.7158 212.9129 65.84986
2697.7969 220.0008 95.18063
1990.9263 238.7805 382.6815
1601.7148 239.1291 194.2845
2520.2527 261.3087 744.7268
504.9837 248.3101 106.2036
3079.4487 266.2189 392.9238
823.7786 272.7507 495.3526
71.0815 290.5323 508.1997
1674.6399 276.6241 95.47006
1402.5117 303.4992 190.3084
1918.8104 307.9741 318.3161
1019.9594 326.4248 845.962
3165.1653 342.4608 3458.437
1140.2566 328.4109 718.2634
3043.1726 321.4384 331.6825
1940.1106 335.7498 587.9388
1506.1213 368.1969 2737.251
901.09 391.9715 724.1135
2117.7966 397.7388 447.7447
2201.0681 406.3882 429.8106
2236.2175 401.5898 346.873
1570.7428 429.4182 1573.214
2386.1541 451.1346 644.7452
2453.5527 458.2248 939.4349
1702.4958 467.3166 830.2653
2305.158 464.3199 577.059
1919.6888 444.8121 58.92398
1335.1766 469.0797 439.6638
2025.4365 498.8666 715.7501
921.8857 480.8646 130.1671
1030.6752 514.8632 911.76
1403.4281 514.2618 574.9874
1661.1945 544.3399 2852.813
844.3597 512.0963 75.03081
3041.353 548.5281 772.0836
2309.1538 548.8922 135.5753
387.4288 594.4799 505.7417
2499.8398 603.7615 714.5371
292.0327 608.4879 677.679
333.1207 600.7331 182.8611
1342.0134 621.241 545.0893
1521.6953 623.7527 678.7267
81.0039 605.1702 70.70345
2096.4797 634.3264 341.4733
2697.1902 683.9756 618.362
1882.7393 697.4653 683.9759
807.5537 701.205 382.6822
202.6508 691.0263 267.817
658.8455 708.742 802.288
503.3863 731.2295 1970.042
1128.5276 702.989 60.34843
937.2773 716.0048 143.5425
1038.7391 749.8458 614.1905
390.6406 760.1504 1390.764
172.495 772.3808 617.9581
1057.2819 779.4296 542.1959
507.0062 785.0013 530.0856
523.8884 795.3572 832.6902
696.6552 799.3859 801.2268
3170.2305 811.797 424.0982
2330.8271 819.618 785.2472
951.0199 826.886 2302.571
1010.6699 820.0132 512.5201
2194.6165 824.8546 206.1504
1735.3081 841.8745 282.8321
842.2288 992.0793 357.5123
1057.3737 2120.813 550.3113
532.3626 2125.0916 90.12529
2298.8862 2099.0896 539.9749
326.6914 2100.2458 226.6385
2416.3594 2078.6965 912.5775
506.9016 2067.877 172.047
2788.4622 2055.8301 530.2164
2146.8169 2049.1221 604.5906
1989.2274 2041.2517 1087.175
1354.194 2042.9648 461.9073
2194.8525 2029.7544 1092.803
224.1905 2021.9847 896.6708
559.7201 2017.9613 1159.742
3064.4968 2011.3372 424.0095
194.1257 2008.6195 1003.399
694.2379 2004.3267 208.1761
2451.1335 1983.728 747.7312
2201.0684 1967.343 187.2297
185.9795 1947.0955 70.93443
2745.0518 1915.8262 869.5356
1737.4501 1917.5615 388.6235
2483.2124 1912.4182 442.9875
1635.6895 1909.8014 59.59002
1263.1713 1886.1681 463.4542
1784.1613 1875.052 467.4444
120.0536 1867.8853 789.1194
1867.0892 1851.3579 606.3002
587.4055 1810.9417 252.6907
2718.7827 911.9229 236.5312
2533.3411 885.9109 976.056
2108.5608 884.2289 591.4849
919.1172 873.2166 580.3965
33.474 857.9312 91.37624
2464.2095 1816.6989 576.0283
60.5173 929.9163 168.0222
2517.0808 1815.4347 817.5652
2995.5273 1781.5698 1587.398
1437.502 916.9875 124.908
2252.3928 1795.5145 899.9338
178.7912 925.6623 728.6368
1615.4932 941.0017 59.56639
1803.7786 1762.3051 709.3555
824.857 1766.9086 632.8393
3089.9705 1745.6874 601.4076
999.3568 962.4821 96.2452
147.5678 1709.118 856.8727
360.7573 1348.8835 1381.824
1178.2791 959.0621 595.2675
2632.8137 1349.1396 1368.244
291.0612 1612.3055 701.6003
223.5436 1037.8905 159.5748
2133.365 1635.6626 921.9669
2310.6492 1363.7091 372.5056
2456.4658 1640.8448 684.5972
2605.1213 1622.7821 471.3658
67.5296 1506.2957 94.44617
1593.1488 1551.7787 1186.719
2177.542 1586.1051 907.8064
2882.3613 1553.0663 2833.258
152.707 1610.4282 686.0442
1669.2324 1553.0747 432.5692
1453.9218 1570.5867 601.1338
3139.7476 1518.0938 383.5069
2260.4651 1510.7358 344.0757
378.8992 1546.0804 431.9209
1971.4855 1493.6992 319.4122
239.3842 1362.9939 1095.773
1687.2424 1511.3112 1543.589
1336.9103 1473.7803 475.5724
1253.0299 1453.6289 2490.329
2622.7854 1454.7205 159.1754
2229.9119 1437.8621 462.2054
1950.395 1439.5608 164.5271
3100.6479 1421.2413 288.4829
1581.219 1424.5873 126.9007
1033.8209 1415.5161 789.6689
1879.0695 1377.9941 285.5602
2021.4148 1379.0504 293.9175
1665.0072 1392.2468 500.7234
1021.8012 1383.4897 82.96707
3100.1646 1364.1123 710.0675
1318.6823 1320.1736 582.0921
1770.549 1055.119 70.87616
3181.9709 1313.2406 1265.633
1555.4811 1050.8696 1222.738
1976.7755 1301.006 1198.536
729.7903 1042.2094 161.3136
1417.91 1049.3566 2583.021
2078.6045 1294.3596 85.67883
382.1302 1271.932 457.8546
1524.4387 1053.1508 1722.629
1039.9897 1089.5389 637.0451
1658.3337 1257.6064 734.4415
373.3967 1135.0192 137.3281
113.2051 1127.9525 283.2733
2426.7737 1198.5549 672.7955
1303.8219 1173.4517 182.9325
354.7952 1176.199 626.7047
105.1568 1201.6366 328.4061
2053.4514 1205.0234 650.4216
1083.0973 1174.9895 618.2303
2453.4426 1203.1979 64.77553
168.2155 1207.8655 782.0336
962.5435 1139.1082 686.9074
2295.2417 1117.5118 469.8729
890.584 1146.1895 370.9069
3086.1257 1128.9048 112.0434
3066.2793 1095.3754 889.4653
2827.7036 1062.0737 437.2332
2909.2087 1044.0619 94.26577
3077.0063 962.7854 84.39187
100.2558 984.7277 553.0025
2086.2351 966.2436 788.996
145.2791 965.1437 683.6938
92.6708 1001.4523 791.5814
